name_en,name_ar,strength,form,price_egp
Paracetamol,باراسيتامول,500 mg,Tab,20.0
Ibuprofen,ايبوبروفين,400 mg,Tab,35.0
Aspirin Protect,اسبرين بروتكت,100 mg,Tab,40.0
Augmentin,اوجمنتين,1 g,Tab,195.0
Augmentin,اوجمنتين,625 mg,Tab,160.0
Azithromycin,ازيثرومايسين,500 mg,Tab,90.0
Metronidazole,ميترونيدازول,500 mg,Tab,26.0
Omeprazole,اوميبرازول,20 mg,Cap,30.0
Esomeprazole,ايزوميبرازول,40 mg,Tab,210.0
Panadol Extra,بنادول اكسترا,500 mg,Tab,22.0
Concor (Bisoprolol),بيسوبرولول,5 mg,Tab,70.0
Losartan,لوسارتان,50 mg,Tab,65.0
Amlodipine,أملوديبين,5 mg,Tab,45.0
Atorvastatin,اتورفاستاتين,20 mg,Tab,165.0
Insulatard,انسولاتارد,100 IU/ml,Vial 10ml,95.0
Metformin,جلوكوفاج,1000 mg,Tab,85.0
Paracetamol,باراسيتامول,2%,Vial,394.0
Ibuprofen,ايبوبروفين,1 g,Syrup,288.0
Amoxicillin,أموكسيسيلين,600 mg,Cap,25.0
Clarithromycin,كلاريثروميسين,500 mg,Vial,395.0
Ciprofloxacin,سيبروفلوكساسين,2%,Sachets,174.0
Cefixime,سيفيكسيم,20 mg,Syrup,294.0
Ceftriaxone,سيفترياكسون,100 mg,Syrup,112.0
Doxycycline,دوكسيسيكلين,250 mg,Shampoo,284.0
Levofloxacin,ليفوفلوكساسين,400 mg,Inhaler,391.0
Azithromycin,ازيثرومايسين,150 mg,Drops,221.0
Ranitidine,رانيتيدين,150 mg,Cream,254.0
Lansoprazole,لانسوبرازول,250 mg,Oint,221.0
Pantoprazole,بانتوبرازول,2%,Inhaler,282.0
Domperidone,دومبيريدون,10 mg,Gel,38.0
Loperamide,لوبراميد,10 mg,Tab,256.0
Cetirizine,سيتريزين,10 mg,Gel,14.0
Loratadine,لوراتادين,20 mg,Susp,71.0
